primary_label,latitude,longitude,scientific_name,region,amount_of_samples
fepowl,-25.627,-54.453,Glaucidium brasilianum,Latin America,18
gcrwar,-34.6081,-58.3509,Basileuterus culicivorus,Latin America,24
gcrwar,-27.1389,-53.927,Basileuterus culicivorus,Latin America,24
gcrwar,-25.6118,-54.5513,Basileuterus culicivorus,Latin America,24
gcrwar,-25.6786,-54.4559,Basileuterus culicivorus,Latin America,24
gcrwar,-25.6786,-54.4559,Basileuterus culicivorus,Latin America,24
gcrwar,-21.05,-56.563,Basileuterus culicivorus,Latin America,24
gcrwar,-25.8667,-54.1667,Basileuterus culicivorus,Latin America,24
gcrwar,-25.8667,-54.1667,Basileuterus culicivorus,Latin America,24
gcrwar,-34.234167,-58.886111,Basileuterus culicivorus,Latin America,24
gcrwar,-34.234167,-58.886111,Basileuterus culicivorus,Latin America,24
gcrwar,-25.8667,-54.1667,Basileuterus culicivorus,Latin America,24
gcrwar,-20.19854,-55.91935,Basileuterus culicivorus,Latin America,24
gcrwar,-25.8667,-54.1667,Basileuterus culicivorus,Latin America,24
grasal1,-30.7855,-64.6298,Saltator coerulescens,Latin America,38
grasal1,-30.2561,-57.5979,Saltator coerulescens,Latin America,38
grasal1,-20.216,-56.494,Saltator coerulescens,Latin America,38
grasal1,-20.2209,-56.5751,Saltator coerulescens,Latin America,38
grasal1,-20.2209,-56.5751,Saltator coerulescens,Latin America,38
grasal1,-20.2209,-56.5751,Saltator coerulescens,Latin America,38
grasal1,-20.2209,-56.5751,Saltator coerulescens,Latin America,38
grasal1,-34.6081,-58.3509,Saltator coerulescens,Latin America,38
grasal1,-23.758,-64.851,Saltator coerulescens,Latin America,38
grasal1,-28.5332,-57.167,Saltator coerulescens,Latin America,38
grasal1,-28.5332,-57.167,Saltator coerulescens,Latin America,38
grasal1,-27.4156,-55.9545,Saltator coerulescens,Latin America,38
grasal1,-23.7031,-64.547,Saltator coerulescens,Latin America,38
grasal1,-32.8606,-60.6486,Saltator coerulescens,Latin America,38
grasal1,-32.8606,-60.6486,Saltator coerulescens,Latin America,38
grasal1,-32.8606,-60.6486,Saltator coerulescens,Latin America,38
grasal1,-24.845,-65.176,Saltator coerulescens,Latin America,38
grasal1,-25.0719,-58.141,Saltator coerulescens,Latin America,38
grasal1,-25.0719,-58.141,Saltator coerulescens,Latin America,38
grasal1,-24.244,-64.125,Saltator coerulescens,Latin America,38
grasal1,-30.2037,-57.5145,Saltator coerulescens,Latin America,38
grasal1,-34.234167,-58.886111,Saltator coerulescens,Latin America,38
grasal1,-22.193127,-63.94455,Saltator coerulescens,Latin America,38
grasal1,-34.234167,-58.886111,Saltator coerulescens,Latin America,38
grasal1,-34.234167,-58.886111,Saltator coerulescens,Latin America,38
grasal1,-34.234167,-58.886111,Saltator coerulescens,Latin America,38
grasal1,-34.234167,-58.886111,Saltator coerulescens,Latin America,38
grasal1,-25.5115,-54.5464,Saltator coerulescens,Latin America,38
grasal1,-25.5163,-54.5854,Saltator coerulescens,Latin America,38
grasal1,-32.8606,-60.6486,Saltator coerulescens,Latin America,38
grasal1,-34.5597,-60.944,Saltator coerulescens,Latin America,38
grasal1,-25.5163,-54.5854,Saltator coerulescens,Latin America,38
grasal1,-23.7629,-53.8803,Saltator coerulescens,Latin America,38
grasal1,-20.1213,-55.9297,Saltator coerulescens,Latin America,38
grekis,-21.05,-56.563,Pitangus sulphuratus,Latin America,19
grekis,-31.4,-57.979,Pitangus sulphuratus,Latin America,19
grekis,-20.4073,-54.6165,Pitangus sulphuratus,Latin America,19
grekis,-24.1898,-65.3017,Pitangus sulphuratus,Latin America,19
grekis,-30.2037,-57.5145,Pitangus sulphuratus,Latin America,19
grekis,-22.193127,-63.94455,Pitangus sulphuratus,Latin America,19
grekis,-25.8667,-54.1667,Pitangus sulphuratus,Latin America,19
grekis,-32.8606,-60.6486,Pitangus sulphuratus,Latin America,19
grekis,-25.8667,-54.1667,Pitangus sulphuratus,Latin America,19
grekis,-25.6667,-54.4167,Pitangus sulphuratus,Latin America,19
houwre,-33.2361,-71.5293,Troglodytes aedon,Latin America,42
houwre,-25.1053,-65.6009,Troglodytes aedon,Latin America,42
houwre,-21.9409,-64.6167,Troglodytes aedon,Latin America,42
houwre,-21.967,-64.617,Troglodytes aedon,Latin America,42
houwre,-22.0153,-64.5737,Troglodytes aedon,Latin America,42
houwre,-24.68,-65.4227,Troglodytes aedon,Latin America,42
houwre,-24.665,-65.377,Troglodytes aedon,Latin America,42
houwre,-53.162,-70.395,Troglodytes aedon,Latin America,42
houwre,-26.895,-59.0177,Troglodytes aedon,Latin America,42
houwre,-23.6834,-64.7501,Troglodytes aedon,Latin America,42
houwre,-26.4834,-66.01,Troglodytes aedon,Latin America,42
houwre,-33.4393,-71.6764,Troglodytes aedon,Latin America,42
houwre,-22.3365,-68.6488,Troglodytes aedon,Latin America,42
houwre,-30.1834,-57.4501,Troglodytes aedon,Latin America,42
houwre,-33.8832,-70.9912,Troglodytes aedon,Latin America,42
houwre,-33.2051,-70.788,Troglodytes aedon,Latin America,42
houwre,-33.7836,-70.2324,Troglodytes aedon,Latin America,42
houwre,-34.585,-58.4248,Troglodytes aedon,Latin America,42
houwre,-32.8606,-60.6486,Troglodytes aedon,Latin America,42
houwre,-41.0745,-71.1056,Troglodytes aedon,Latin America,42
houwre,-41.9746,-71.556,Troglodytes aedon,Latin America,42
houwre,-42.2131,-71.446,Troglodytes aedon,Latin America,42
houwre,-32.9809,-71.1289,Troglodytes aedon,Latin America,42
houwre,-33.0895,-71.0142,Troglodytes aedon,Latin America,42
houwre,-33.3991,-70.378,Troglodytes aedon,Latin America,42
houwre,-29.1653,-66.8339,Troglodytes aedon,Latin America,42
houwre,-32.8606,-60.6486,Troglodytes aedon,Latin America,42
houwre,-33.2909,-70.8056,Troglodytes aedon,Latin America,42
houwre,-33.4405,-70.6376,Troglodytes aedon,Latin America,42
houwre,-33.4405,-70.6376,Troglodytes aedon,Latin America,42
houwre,-32.8606,-60.6486,Troglodytes aedon,Latin America,42
houwre,-33.4904,-70.5932,Troglodytes aedon,Latin America,42
houwre,-33.4488,-70.6166,Troglodytes aedon,Latin America,42
houwre,-25.8667,-54.1667,Troglodytes aedon,Latin America,42
houwre,-25.5163,-54.5854,Troglodytes aedon,Latin America,42
houwre,-33.3485,-70.5843,Troglodytes aedon,Latin America,42
houwre,-33.3485,-70.5843,Troglodytes aedon,Latin America,42
houwre,-33.3485,-70.5843,Troglodytes aedon,Latin America,42
houwre,-33.3485,-70.5843,Troglodytes aedon,Latin America,42
houwre,-25.5163,-54.5854,Troglodytes aedon,Latin America,42
houwre,-33.4905,-70.5933,Troglodytes aedon,Latin America,42
houwre,-33.4905,-70.5933,Troglodytes aedon,Latin America,42
oliwoo1,-26.519,-53.991,Sittasomus griseicapillus,Latin America,33
oliwoo1,-26.519,-53.991,Sittasomus griseicapillus,Latin America,33
oliwoo1,-21.1112,-64.2389,Sittasomus griseicapillus,Latin America,33
oliwoo1,-22.0403,-64.5584,Sittasomus griseicapillus,Latin America,33
oliwoo1,-22.0403,-64.5584,Sittasomus griseicapillus,Latin America,33
oliwoo1,-22.0403,-64.5584,Sittasomus griseicapillus,Latin America,33
oliwoo1,-25.6852,-53.8636,Sittasomus griseicapillus,Latin America,33
oliwoo1,-20.1213,-55.9297,Sittasomus griseicapillus,Latin America,33
oliwoo1,-25.8667,-54.1667,Sittasomus griseicapillus,Latin America,33
oliwoo1,-23.758,-64.851,Sittasomus griseicapillus,Latin America,33
oliwoo1,-23.758,-64.851,Sittasomus griseicapillus,Latin America,33
oliwoo1,-23.5334,-64.5501,Sittasomus griseicapillus,Latin America,33
oliwoo1,-20.445,-53.7593,Sittasomus griseicapillus,Latin America,33
oliwoo1,-23.758,-64.851,Sittasomus griseicapillus,Latin America,33
oliwoo1,-23.758,-64.851,Sittasomus griseicapillus,Latin America,33
oliwoo1,-26.519,-53.991,Sittasomus griseicapillus,Latin America,33
oliwoo1,-25.681,-54.436,Sittasomus griseicapillus,Latin America,33
oliwoo1,-26.6301,-54.0999,Sittasomus griseicapillus,Latin America,33
oliwoo1,-25.8667,-54.1667,Sittasomus griseicapillus,Latin America,33
oliwoo1,-26.519,-53.9887,Sittasomus griseicapillus,Latin America,33
oliwoo1,-23.7288,-64.8495,Sittasomus griseicapillus,Latin America,33
oliwoo1,-23.7288,-64.8495,Sittasomus griseicapillus,Latin America,33
oliwoo1,-22.193127,-63.94455,Sittasomus griseicapillus,Latin America,33
oliwoo1,-26.5723,-53.8018,Sittasomus griseicapillus,Latin America,33
oliwoo1,-26.5723,-53.8018,Sittasomus griseicapillus,Latin America,33
oliwoo1,-26.5723,-53.8018,Sittasomus griseicapillus,Latin America,33
oliwoo1,-26.5723,-53.8018,Sittasomus griseicapillus,Latin America,33
oliwoo1,-26.519,-53.9887,Sittasomus griseicapillus,Latin America,33
oliwoo1,-26.519,-53.9887,Sittasomus griseicapillus,Latin America,33
oliwoo1,-26.6301,-54.0999,Sittasomus griseicapillus,Latin America,33
oliwoo1,-26.6301,-54.0999,Sittasomus griseicapillus,Latin America,33
oliwoo1,-25.6084,-54.4326,Sittasomus griseicapillus,Latin America,33
oliwoo1,-24.137,-55.5277,Sittasomus griseicapillus,Latin America,33
pabspi1,-31.8681,-59.0309,Synallaxis albescens,Latin America,15
pabspi1,-32.637,-58.14,Synallaxis albescens,Latin America,15
pabspi1,-31.6916,-60.8296,Synallaxis albescens,Latin America,15
pabspi1,-27.5645,-64.4504,Synallaxis albescens,Latin America,15
pabspi1,-23.8132,-56.2954,Synallaxis albescens,Latin America,15
pabspi1,-32.51,-63.1163,Synallaxis albescens,Latin America,15
pabspi1,-31.35,-57.981,Synallaxis albescens,Latin America,15
pabspi1,-29.8307,-66.5617,Synallaxis albescens,Latin America,15
pabspi1,-29.9661,-66.4893,Synallaxis albescens,Latin America,15
pabspi1,-23.7629,-53.8803,Synallaxis albescens,Latin America,15
pabspi1,-27.5302,-56.6027,Synallaxis albescens,Latin America,15
pabspi1,-30.174,-61.2343,Synallaxis albescens,Latin America,15
pabspi1,-30.9501,-62.7001,Synallaxis albescens,Latin America,15
pirfly1,-23.7195,-64.8607,Legatus leucophaius,Latin America,13
pirfly1,-23.6964,-64.8768,Legatus leucophaius,Latin America,13
pirfly1,-23.5834,-64.9001,Legatus leucophaius,Latin America,13
pirfly1,-27.275,-54.1928,Legatus leucophaius,Latin America,13
pirfly1,-25.6919,-53.8499,Legatus leucophaius,Latin America,13
pirfly1,-23.6834,-64.8834,Legatus leucophaius,Latin America,13
pirfly1,-23.5834,-64.9001,Legatus leucophaius,Latin America,13
pirfly1,-22.193127,-63.94455,Legatus leucophaius,Latin America,13
rinkin1,-20.216,-56.494,Megaceryle torquata,Latin America,13
rinkin1,-34.54,-58.4454,Megaceryle torquata,Latin America,13
rinkin1,-20.2209,-56.5751,Megaceryle torquata,Latin America,13
rinkin1,-25.0719,-58.141,Megaceryle torquata,Latin America,13
rinkin1,-31.4275,-58.0131,Megaceryle torquata,Latin America,13
rinkin1,-27.7001,-57.1834,Megaceryle torquata,Latin America,13
rinkin1,-30.583027,-59.948959,Megaceryle torquata,Latin America,13
rinkin1,-26.5723,-53.8018,Megaceryle torquata,Latin America,13
rinkin1,-26.5723,-53.8018,Megaceryle torquata,Latin America,13
rinkin1,-25.0719,-58.141,Megaceryle torquata,Latin America,13
rinkin1,-20.0834,-55.9501,Megaceryle torquata,Latin America,13
roahaw,-20.216,-56.494,Rupornis magnirostris,Latin America,18
roahaw,-31.1949,-57.9089,Rupornis magnirostris,Latin America,18
roahaw,-31.4503,-57.9801,Rupornis magnirostris,Latin America,18
roahaw,-23.5334,-64.5501,Rupornis magnirostris,Latin America,18
roahaw,-35.2501,-59.2167,Rupornis magnirostris,Latin America,18
roahaw,-23.7288,-64.8495,Rupornis magnirostris,Latin America,18
roahaw,-22.193127,-63.94455,Rupornis magnirostris,Latin America,18
roahaw,-22.193127,-63.94455,Rupornis magnirostris,Latin America,18
roahaw,-32.8606,-60.6486,Rupornis magnirostris,Latin America,18
roahaw,-32.8606,-60.6486,Rupornis magnirostris,Latin America,18
roahaw,-32.1938,-58.1586,Rupornis magnirostris,Latin America,18
roahaw,-20.1213,-55.9297,Rupornis magnirostris,Latin America,18
roahaw,-30.1834,-57.4501,Rupornis magnirostris,Latin America,18
rubpep1,-26.3247,-53.2885,Cyclarhis gujanensis,Latin America,45
rubpep1,-22.0409,-64.4387,Cyclarhis gujanensis,Latin America,45
rubpep1,-24.1919,-65.2479,Cyclarhis gujanensis,Latin America,45
rubpep1,-24.1532,-65.3694,Cyclarhis gujanensis,Latin America,45
rubpep1,-27.4563,-55.8143,Cyclarhis gujanensis,Latin America,45
rubpep1,-27.6302,-55.7069,Cyclarhis gujanensis,Latin America,45
rubpep1,-34.9072,-55.008,Cyclarhis gujanensis,Latin America,45
rubpep1,-31.3022,-56.8701,Cyclarhis gujanensis,Latin America,45
rubpep1,-31.416,-58.007,Cyclarhis gujanensis,Latin America,45
rubpep1,-34.6081,-58.3509,Cyclarhis gujanensis,Latin America,45
rubpep1,-24.683,-65.406,Cyclarhis gujanensis,Latin America,45
rubpep1,-23.6834,-64.8834,Cyclarhis gujanensis,Latin America,45
rubpep1,-23.6667,-64.9334,Cyclarhis gujanensis,Latin America,45
rubpep1,-23.7288,-64.8495,Cyclarhis gujanensis,Latin America,45
rubpep1,-26.7966,-59.6056,Cyclarhis gujanensis,Latin America,45
rubpep1,-26.7966,-59.6056,Cyclarhis gujanensis,Latin America,45
rubpep1,-25.691,-53.8468,Cyclarhis gujanensis,Latin America,45
rubpep1,-28.5332,-57.167,Cyclarhis gujanensis,Latin America,45
rubpep1,-23.7288,-64.8495,Cyclarhis gujanensis,Latin America,45
rubpep1,-31.4294,-64.4883,Cyclarhis gujanensis,Latin America,45
rubpep1,-24.3682,-65.3221,Cyclarhis gujanensis,Latin America,45
rubpep1,-31.4247,-64.4853,Cyclarhis gujanensis,Latin America,45
rubpep1,-31.6589,-56.6156,Cyclarhis gujanensis,Latin America,45
rubpep1,-24.465,-65.2481,Cyclarhis gujanensis,Latin America,45
rubpep1,-31.2829,-64.4902,Cyclarhis gujanensis,Latin America,45
rubpep1,-22.193127,-63.94455,Cyclarhis gujanensis,Latin America,45
rubpep1,-34.234167,-58.886111,Cyclarhis gujanensis,Latin America,45
rubpep1,-22.193127,-63.94455,Cyclarhis gujanensis,Latin America,45
rubpep1,-30.583027,-59.948959,Cyclarhis gujanensis,Latin America,45
rubpep1,-32.8606,-60.6486,Cyclarhis gujanensis,Latin America,45
rubpep1,-28.3478,-55.9414,Cyclarhis gujanensis,Latin America,45
rubpep1,-27.1001,-54.8834,Cyclarhis gujanensis,Latin America,45
rubpep1,-25.0719,-58.141,Cyclarhis gujanensis,Latin America,45
rubpep1,-20.0834,-55.9501,Cyclarhis gujanensis,Latin America,45
rucspa1,-33.4549,-70.5175,Zonotrichia capensis,Latin America,79
rucspa1,-22.7125,-65.7,Zonotrichia capensis,Latin America,79
rucspa1,-22.7125,-65.7,Zonotrichia capensis,Latin America,79
rucspa1,-20.108,-62.661,Zonotrichia capensis,Latin America,79
rucspa1,-20.108,-62.661,Zonotrichia capensis,Latin America,79
rucspa1,-34.845,-55.031,Zonotrichia capensis,Latin America,79
rucspa1,-33.7684,-69.9996,Zonotrichia capensis,Latin America,79
rucspa1,-33.8617,-69.9962,Zonotrichia capensis,Latin America,79
rucspa1,-22.157,-64.432,Zonotrichia capensis,Latin America,79
rucspa1,-22.157,-64.432,Zonotrichia capensis,Latin America,79
rucspa1,-47.7492,-65.888,Zonotrichia capensis,Latin America,79
rucspa1,-34.854,-58.523,Zonotrichia capensis,Latin America,79
rucspa1,-25.2001,-65.8167,Zonotrichia capensis,Latin America,79
rucspa1,-33.214,-70.9456,Zonotrichia capensis,Latin America,79
rucspa1,-23.5334,-64.5501,Zonotrichia capensis,Latin America,79
rucspa1,-24.4667,-65.2501,Zonotrichia capensis,Latin America,79
rucspa1,-34.9612,-70.4317,Zonotrichia capensis,Latin America,79
rucspa1,-26.8109,-59.597,Zonotrichia capensis,Latin America,79
rucspa1,-48.5051,-71.2151,Zonotrichia capensis,Latin America,79
rucspa1,-27.4156,-55.9545,Zonotrichia capensis,Latin America,79
rucspa1,-33.2051,-70.788,Zonotrichia capensis,Latin America,79
rucspa1,-34.6133,-58.3561,Zonotrichia capensis,Latin America,79
rucspa1,-32.8606,-60.6486,Zonotrichia capensis,Latin America,79
rucspa1,-42.4751,-63.9185,Zonotrichia capensis,Latin America,79
rucspa1,-25.6785,-54.4507,Zonotrichia capensis,Latin America,79
rucspa1,-41.0745,-71.1056,Zonotrichia capensis,Latin America,79
rucspa1,-46.7717,-71.3964,Zonotrichia capensis,Latin America,79
rucspa1,-47.241,-71.1926,Zonotrichia capensis,Latin America,79
rucspa1,-46.6073,-71.4055,Zonotrichia capensis,Latin America,79
rucspa1,-34.6083,-58.3532,Zonotrichia capensis,Latin America,79
rucspa1,-32.81,-69.9426,Zonotrichia capensis,Latin America,79
rucspa1,-40.4929,-71.6534,Zonotrichia capensis,Latin America,79
rucspa1,-48.4832,-71.4266,Zonotrichia capensis,Latin America,79
rucspa1,-48.4832,-71.4266,Zonotrichia capensis,Latin America,79
rucspa1,-22.9567,-65.3956,Zonotrichia capensis,Latin America,79
rucspa1,-22.9567,-65.3956,Zonotrichia capensis,Latin America,79
rucspa1,-24.172,-64.006,Zonotrichia capensis,Latin America,79
rucspa1,-28.8461,-67.7692,Zonotrichia capensis,Latin America,79
rucspa1,-25.177,-65.983,Zonotrichia capensis,Latin America,79
rucspa1,-30.2037,-57.5145,Zonotrichia capensis,Latin America,79
rucspa1,-35.641952,-59.775238,Zonotrichia capensis,Latin America,79
rucspa1,-22.193127,-63.94455,Zonotrichia capensis,Latin America,79
rucspa1,-42.754008,-65.049019,Zonotrichia capensis,Latin America,79
rucspa1,-34.234167,-58.886111,Zonotrichia capensis,Latin America,79
rucspa1,-34.234167,-58.886111,Zonotrichia capensis,Latin America,79
rucspa1,-22.193127,-63.94455,Zonotrichia capensis,Latin America,79
rucspa1,-32.8215,-69.9551,Zonotrichia capensis,Latin America,79
rucspa1,-32.8142,-70.0468,Zonotrichia capensis,Latin America,79
rucspa1,-41.5077,-72.7719,Zonotrichia capensis,Latin America,79
rucspa1,-41.5077,-72.7719,Zonotrichia capensis,Latin America,79
rucspa1,-32.8606,-60.6486,Zonotrichia capensis,Latin America,79
rucspa1,-25.8667,-54.1667,Zonotrichia capensis,Latin America,79
rucspa1,-33.3485,-70.5843,Zonotrichia capensis,Latin America,79
rucspa1,-33.3485,-70.5843,Zonotrichia capensis,Latin America,79
rucspa1,-33.3485,-70.5843,Zonotrichia capensis,Latin America,79
rucspa1,-39.0419,-67.5726,Zonotrichia capensis,Latin America,79
rucspa1,-32.6207,-58.174,Zonotrichia capensis,Latin America,79
rucspa1,-30.1834,-57.4501,Zonotrichia capensis,Latin America,79
saffin,-24.683,-65.406,Sicalis flaveola,Latin America,32
saffin,-32.213,-64.4245,Sicalis flaveola,Latin America,32
saffin,-20.1213,-55.9297,Sicalis flaveola,Latin America,32
saffin,-20.1213,-55.9297,Sicalis flaveola,Latin America,32
saffin,-24.683,-65.406,Sicalis flaveola,Latin America,32
saffin,-30.1834,-57.4501,Sicalis flaveola,Latin America,32
saffin,-27.4156,-55.9545,Sicalis flaveola,Latin America,32
saffin,-26.6264,-54.1063,Sicalis flaveola,Latin America,32
saffin,-20.4073,-54.6165,Sicalis flaveola,Latin America,32
saffin,-20.4073,-54.6165,Sicalis flaveola,Latin America,32
saffin,-25.6785,-54.4507,Sicalis flaveola,Latin America,32
saffin,-31.376,-65.4796,Sicalis flaveola,Latin America,32
saffin,-36.4001,-56.9167,Sicalis flaveola,Latin America,32
saffin,-22.9567,-65.3956,Sicalis flaveola,Latin America,32
saffin,-34.234167,-58.886111,Sicalis flaveola,Latin America,32
saffin,-34.234167,-58.886111,Sicalis flaveola,Latin America,32
saffin,-34.234167,-58.886111,Sicalis flaveola,Latin America,32
