primary_label,latitude,longitude,scientific_name,amount_of_samples
aldfly,4.351,-74.652,Empidonax alnorum,10
amekes,4.8,-71.35,Falco sparverius,22
amekes,-33.214,-70.9456,Falco sparverius,22
amekes,-16.9334,-66.8667,Falco sparverius,22
amekes,0.54,-78.13,Falco sparverius,22
amekes,-3.232,-79.281,Falco sparverius,22
amekes,-4.133,-79.883,Falco sparverius,22
amekes,-32.144,-53.728,Falco sparverius,22
amekes,5.014,-73.8292,Falco sparverius,22
amekes,-21.0944,-52.4465,Falco sparverius,22
amekes,-21.0944,-52.4465,Falco sparverius,22
amekes,-33.6876,-70.91,Falco sparverius,22
amekes,-29.0066,-50.8079,Falco sparverius,22
amekes,-29.0066,-50.8079,Falco sparverius,22
amekes,-14.917,-51.0755,Falco sparverius,22
amekes,-32.8346,-65.9636,Falco sparverius,22
amekes,-14.625,-49.0051,Falco sparverius,22
amekes,-34.234167,-58.886111,Falco sparverius,22
amekes,4.5333333,-75.4669444,Falco sparverius,22
amekes,4.351,-74.652,Falco sparverius,22
amekes,4.351,-74.652,Falco sparverius,22
amekes,-14.625,-49.0051,Falco sparverius,22
amekes,-13.2989,-72.1189,Falco sparverius,22
amered,5.013,-74.244,Setophaga ruticilla,8
amered,4.1813,-73.6511,Setophaga ruticilla,8
amered,8.8085,-70.5049,Setophaga ruticilla,8
amered,4.7037,-74.0789,Setophaga ruticilla,8
amered,5.0901,-52.5698,Setophaga ruticilla,8
amered,5.0901,-52.5698,Setophaga ruticilla,8
amered,-0.1868,-78.4859,Setophaga ruticilla,8
amered,10.3492,-67.6851,Setophaga ruticilla,8
andsol1,-0.01,-78.7334,Myadestes ralloides,199
andsol1,5.5883,-75.8209,Myadestes ralloides,199
andsol1,-0.5864,-77.8778,Myadestes ralloides,199
andsol1,-13.152,-72.535,Myadestes ralloides,199
andsol1,4.6717,-75.6283,Myadestes ralloides,199
andsol1,-5.6917,-77.7341,Myadestes ralloides,199
andsol1,4.2834,-73.7834,Myadestes ralloides,199
andsol1,-3.7782,-78.496,Myadestes ralloides,199
andsol1,-3.7614,-78.5053,Myadestes ralloides,199
andsol1,4.6717,-75.6283,Myadestes ralloides,199
andsol1,4.9197,-75.0896,Myadestes ralloides,199
andsol1,4.6717,-75.6283,Myadestes ralloides,199
andsol1,4.6717,-75.6283,Myadestes ralloides,199
andsol1,4.6717,-75.6283,Myadestes ralloides,199
andsol1,4.6717,-75.6283,Myadestes ralloides,199
andsol1,4.6717,-75.6283,Myadestes ralloides,199
andsol1,4.6717,-75.6283,Myadestes ralloides,199
andsol1,-6.9667,-77.6334,Myadestes ralloides,199
andsol1,5.2898,-75.9145,Myadestes ralloides,199
andsol1,1.795556,-76.35139,Myadestes ralloides,199
andsol1,1.795556,-76.35139,Myadestes ralloides,199
andsol1,1.81,-76.34972,Myadestes ralloides,199
andsol1,1.1557,-77.9799,Myadestes ralloides,199
andsol1,-10.6548,-75.3487,Myadestes ralloides,199
andsol1,-10.7014,-74.1267,Myadestes ralloides,199
andsol1,-3.9918,-79.1011,Myadestes ralloides,199
andsol1,-3.9918,-79.1011,Myadestes ralloides,199
andsol1,-6.7,-77.8176,Myadestes ralloides,199
andsol1,6.1298,-75.5999,Myadestes ralloides,199
andsol1,6.1298,-75.5999,Myadestes ralloides,199
andsol1,-5.6667,-77.7501,Myadestes ralloides,199
andsol1,-5.6667,-77.7501,Myadestes ralloides,199
andsol1,-5.1035,-79.3567,Myadestes ralloides,199
andsol1,0.0591,-78.7679,Myadestes ralloides,199
andsol1,-0.0446,-78.636,Myadestes ralloides,199
andsol1,-0.0446,-78.636,Myadestes ralloides,199
andsol1,8.7928,-70.8316,Myadestes ralloides,199
andsol1,9.7031,-69.6048,Myadestes ralloides,199
andsol1,0.892,-78.0771,Myadestes ralloides,199
andsol1,6.8464,-73.3751,Myadestes ralloides,199
andsol1,0.0226,-78.712,Myadestes ralloides,199
andsol1,0.892,-78.0771,Myadestes ralloides,199
andsol1,8.609,-71.0563,Myadestes ralloides,199
andsol1,-0.5864,-77.8778,Myadestes ralloides,199
andsol1,-0.5864,-77.8778,Myadestes ralloides,199
andsol1,4.6683,-75.6275,Myadestes ralloides,199
andsol1,4.6683,-75.6275,Myadestes ralloides,199
andsol1,4.6683,-75.6275,Myadestes ralloides,199
andsol1,4.67378,-75.60751,Myadestes ralloides,199
andsol1,4.6167,-74.3001,Myadestes ralloides,199
andsol1,1.3001,-78.0834,Myadestes ralloides,199
andsol1,1.3001,-78.0834,Myadestes ralloides,199
andsol1,1.3001,-78.0834,Myadestes ralloides,199
andsol1,1.3001,-78.0834,Myadestes ralloides,199
andsol1,1.3001,-78.0834,Myadestes ralloides,199
andsol1,1.3001,-78.0834,Myadestes ralloides,199
andsol1,1.3001,-78.0834,Myadestes ralloides,199
andsol1,-3.491,-79.748,Myadestes ralloides,199
andsol1,-3.654,-79.753,Myadestes ralloides,199
andsol1,-3.654,-79.753,Myadestes ralloides,199
andsol1,0.909,-78.604,Myadestes ralloides,199
andsol1,0.34,-78.6,Myadestes ralloides,199
andsol1,0.084,-78.617,Myadestes ralloides,199
andsol1,-0.017,-78.685,Myadestes ralloides,199
andsol1,-0.6,-77.85,Myadestes ralloides,199
andsol1,-0.6,-77.85,Myadestes ralloides,199
andsol1,-0.655,-77.784,Myadestes ralloides,199
andsol1,-0.655,-77.784,Myadestes ralloides,199
andsol1,-0.589,-77.877,Myadestes ralloides,199
andsol1,-0.589,-77.877,Myadestes ralloides,199
andsol1,-4.036,-78.58,Myadestes ralloides,199
andsol1,-4.036,-78.58,Myadestes ralloides,199
andsol1,4.70138,-75.64108,Myadestes ralloides,199
andsol1,4.70138,-75.64108,Myadestes ralloides,199
andsol1,5.2537,-72.8784,Myadestes ralloides,199
andsol1,5.333,-72.7747,Myadestes ralloides,199
andsol1,5.333,-72.7747,Myadestes ralloides,199
andsol1,5.333,-72.7747,Myadestes ralloides,199
andsol1,-0.589,-77.877,Myadestes ralloides,199
andsol1,-4.517,-79.15,Myadestes ralloides,199
andsol1,-4.517,-79.15,Myadestes ralloides,199
andsol1,8.6071,-71.053,Myadestes ralloides,199
andsol1,-0.589,-77.877,Myadestes ralloides,199
andsol1,-0.051,-78.778,Myadestes ralloides,199
andsol1,-0.589,-77.877,Myadestes ralloides,199
andsol1,-0.589,-77.877,Myadestes ralloides,199
andsol1,-0.017,-78.685,Myadestes ralloides,199
andsol1,0.863,-78.059,Myadestes ralloides,199
andsol1,3.5695,-76.5767,Myadestes ralloides,199
andsol1,5.484,-75.902,Myadestes ralloides,199
andsol1,-0.01,-78.683,Myadestes ralloides,199
andsol1,0.85,-78.517,Myadestes ralloides,199
andsol1,0.863,-78.067,Myadestes ralloides,199
andsol1,-3.022,-78.588,Myadestes ralloides,199
andsol1,-0.655,-77.784,Myadestes ralloides,199
andsol1,-3.9667,-79.0834,Myadestes ralloides,199
andsol1,-0.0431,-78.7376,Myadestes ralloides,199
andsol1,5.2281,-73.2184,Myadestes ralloides,199
andsol1,-0.0181,-78.6834,Myadestes ralloides,199
andsol1,4.6149,-74.3106,Myadestes ralloides,199
andsol1,4.7221,-75.5773,Myadestes ralloides,199
andsol1,-4.532,-79.1309,Myadestes ralloides,199
andsol1,5.5648,-75.7865,Myadestes ralloides,199
andsol1,5.5648,-75.787,Myadestes ralloides,199
andsol1,5.5589,-75.7977,Myadestes ralloides,199
andsol1,-1.3928,-78.4269,Myadestes ralloides,199
andsol1,4.2834,-73.7834,Myadestes ralloides,199
andsol1,1.3,-78.083,Myadestes ralloides,199
andsol1,1.3001,-78.0834,Myadestes ralloides,199
andsol1,-4.6767,-79.1187,Myadestes ralloides,199
andsol1,-4.6767,-79.1187,Myadestes ralloides,199
andsol1,-0.589,-77.877,Myadestes ralloides,199
andsol1,-16.2501,-67.7834,Myadestes ralloides,199
andsol1,-16.2501,-67.7834,Myadestes ralloides,199
andsol1,5.8067,-76.1816,Myadestes ralloides,199
andsol1,-16.2501,-67.7834,Myadestes ralloides,199
andsol1,-16.2501,-67.7834,Myadestes ralloides,199
andsol1,3.4853,-76.6178,Myadestes ralloides,199
andsol1,6.9862,-75.1251,Myadestes ralloides,199
andsol1,6.9862,-75.1251,Myadestes ralloides,199
andsol1,4.71,-73.3161,Myadestes ralloides,199
andsol1,5.0737,-75.4378,Myadestes ralloides,199
andsol1,5.172,-75.974,Myadestes ralloides,199
andsol1,5.8023,-73.5168,Myadestes ralloides,199
andsol1,8.8655,-70.6803,Myadestes ralloides,199
andsol1,8.8655,-70.6803,Myadestes ralloides,199
andsol1,8.8655,-70.6803,Myadestes ralloides,199
andsol1,8.8655,-70.6803,Myadestes ralloides,199
andsol1,8.8663,-70.6814,Myadestes ralloides,199
andsol1,6.2071,-75.6331,Myadestes ralloides,199
andsol1,3.5407,-76.6036,Myadestes ralloides,199
andsol1,6.236,-75.677,Myadestes ralloides,199
andsol1,0.0036,-78.6773,Myadestes ralloides,199
andsol1,0.0036,-78.6773,Myadestes ralloides,199
andsol1,5.5374,-75.8029,Myadestes ralloides,199
andsol1,4.4806,-75.198,Myadestes ralloides,199
andsol1,4.727,-75.577,Myadestes ralloides,199
andsol1,4.7004,-73.4163,Myadestes ralloides,199
andsol1,4.7175,-75.6242,Myadestes ralloides,199
andsol1,-0.5691,-77.5946,Myadestes ralloides,199
andsol1,-0.5691,-77.5946,Myadestes ralloides,199
andsol1,3.5658,-76.5843,Myadestes ralloides,199
andsol1,4.7175,-75.6242,Myadestes ralloides,199
andsol1,5.1616,-73.1935,Myadestes ralloides,199
andsol1,2.7975,-74.855,Myadestes ralloides,199
andsol1,5.8116,-73.5324,Myadestes ralloides,199
andsol1,0.4683333,-77.2855556,Myadestes ralloides,199
andsol1,0.4683333,-77.2855556,Myadestes ralloides,199
andsol1,-0.0432,-78.7602,Myadestes ralloides,199
andsol1,1.6169444,-76.1002778,Myadestes ralloides,199
andsol1,1.6169444,-76.1002778,Myadestes ralloides,199
andsol1,1.6169444,-76.1002778,Myadestes ralloides,199
andsol1,1.6169444,-76.1002778,Myadestes ralloides,199
andsol1,1.6169444,-76.1002778,Myadestes ralloides,199
andsol1,1.6169444,-76.1002778,Myadestes ralloides,199
andsol1,4.3413889,-75.7333333,Myadestes ralloides,199
andsol1,4.3413889,-75.7333333,Myadestes ralloides,199
andsol1,4.3413889,-75.7333333,Myadestes ralloides,199
andsol1,4.3413889,-75.7333333,Myadestes ralloides,199
andsol1,5.2308333,-75.4883333,Myadestes ralloides,199
andsol1,5.2308333,-75.4883333,Myadestes ralloides,199
andsol1,5.2308333,-75.4883333,Myadestes ralloides,199
andsol1,5.2308333,-75.4883333,Myadestes ralloides,199
andsol1,5.2308333,-75.4883333,Myadestes ralloides,199
andsol1,5.2308333,-75.4883333,Myadestes ralloides,199
andsol1,5.2308333,-75.4883333,Myadestes ralloides,199
andsol1,5.2308333,-75.4883333,Myadestes ralloides,199
andsol1,5.2308333,-75.4883333,Myadestes ralloides,199
andsol1,7.4388889,-72.8408333,Myadestes ralloides,199
andsol1,7.4388889,-72.8408333,Myadestes ralloides,199
andsol1,7.4388889,-72.8408333,Myadestes ralloides,199
andsol1,7.4802778,-72.8319444,Myadestes ralloides,199
andsol1,7.4802778,-72.8319444,Myadestes ralloides,199
andsol1,7.4802778,-72.8319444,Myadestes ralloides,199
andsol1,7.4802778,-72.8319444,Myadestes ralloides,199
andsol1,7.4802778,-72.8319444,Myadestes ralloides,199
andsol1,7.4802778,-72.8319444,Myadestes ralloides,199
andsol1,7.4802778,-72.8319444,Myadestes ralloides,199
andsol1,7.4802778,-72.8319444,Myadestes ralloides,199
andsol1,-0.0266,-78.7423,Myadestes ralloides,199
andsol1,0.433,-77.579,Myadestes ralloides,199
andsol1,-2.6399,-79.443,Myadestes ralloides,199
andsol1,-2.6399,-79.443,Myadestes ralloides,199
andsol1,1.8623,-75.6712,Myadestes ralloides,199
andsol1,1.8623,-75.6712,Myadestes ralloides,199
andsol1,-10.366,-75.599,Myadestes ralloides,199
andsol1,-13.0501,-71.5564,Myadestes ralloides,199
andsol1,0.01,-78.6776,Myadestes ralloides,199
andsol1,0.01,-78.6776,Myadestes ralloides,199
andsol1,-0.083,-78.669,Myadestes ralloides,199
andsol1,-16.21058333,-67.72955556,Myadestes ralloides,199
andsol1,0.892,-78.533,Myadestes ralloides,199
andsol1,0.892,-78.533,Myadestes ralloides,199
andsol1,8.8501,-70.5667,Myadestes ralloides,199
andsol1,-3.6667,-79.6501,Myadestes ralloides,199
andsol1,-3.6667,-79.6501,Myadestes ralloides,199
andsol1,-3.6667,-79.6501,Myadestes ralloides,199
andsol1,-3.6667,-79.6501,Myadestes ralloides,199
andsol1,-3.6667,-79.6501,Myadestes ralloides,199
azaspi1,-0.0181,-78.6834,Synallaxis azarae,257
azaspi1,-0.0181,-78.6834,Synallaxis azarae,257
azaspi1,-0.0181,-78.6834,Synallaxis azarae,257
azaspi1,-0.0181,-78.6834,Synallaxis azarae,257
azaspi1,-0.0181,-78.6834,Synallaxis azarae,257
azaspi1,-0.0181,-78.6834,Synallaxis azarae,257
azaspi1,-6.387636,-79.103622,Synallaxis azarae,257
azaspi1,-6.4334,-79.0667,Synallaxis azarae,257
azaspi1,-4.9548,-78.9792,Synallaxis azarae,257
azaspi1,-4.0364,-79.1931,Synallaxis azarae,257
azaspi1,-4.4797,-79.391,Synallaxis azarae,257
azaspi1,-4.4797,-79.391,Synallaxis azarae,257
azaspi1,0.1001,-78.3501,Synallaxis azarae,257
azaspi1,-3.6795,-79.2376,Synallaxis azarae,257
azaspi1,-13.152,-72.535,Synallaxis azarae,257
azaspi1,-5.9104,-78.4268,Synallaxis azarae,257
azaspi1,4.4837,-75.4797,Synallaxis azarae,257
azaspi1,4.6861,-75.5472,Synallaxis azarae,257
azaspi1,4.6861,-75.5472,Synallaxis azarae,257
azaspi1,4.6861,-75.5472,Synallaxis azarae,257
azaspi1,4.6861,-75.5472,Synallaxis azarae,257
azaspi1,5.716,-75.2583,Synallaxis azarae,257
azaspi1,5.716,-75.2583,Synallaxis azarae,257
azaspi1,4.6717,-75.6283,Synallaxis azarae,257
azaspi1,4.6717,-75.6283,Synallaxis azarae,257
azaspi1,4.6717,-75.6283,Synallaxis azarae,257
azaspi1,7.055,-75.4482,Synallaxis azarae,257
azaspi1,4.4689,-75.2281,Synallaxis azarae,257
azaspi1,-23.6964,-64.8768,Synallaxis azarae,257
azaspi1,-23.6964,-64.8768,Synallaxis azarae,257
azaspi1,-23.6964,-64.8768,Synallaxis azarae,257
azaspi1,-9.6667,-76.0834,Synallaxis azarae,257
azaspi1,-13.1733,-72.5407,Synallaxis azarae,257
azaspi1,-13.1661,-72.5403,Synallaxis azarae,257
azaspi1,5.193,-75.956,Synallaxis azarae,257
azaspi1,1.795556,-76.35139,Synallaxis azarae,257
azaspi1,1.1557,-77.9799,Synallaxis azarae,257
azaspi1,-11.6746,-74.827,Synallaxis azarae,257
azaspi1,-3.5742,-79.4268,Synallaxis azarae,257
azaspi1,-21.0334,-64.2167,Synallaxis azarae,257
azaspi1,6.1334,-75.6036,Synallaxis azarae,257
azaspi1,-20.8334,-64.3334,Synallaxis azarae,257
azaspi1,-3.5742,-79.4268,Synallaxis azarae,257
azaspi1,6.1298,-75.5999,Synallaxis azarae,257
azaspi1,-20.8001,-64.5334,Synallaxis azarae,257
azaspi1,-20.8,-64.533,Synallaxis azarae,257
azaspi1,-3.9992,-79.0192,Synallaxis azarae,257
azaspi1,-3.9918,-79.1011,Synallaxis azarae,257
azaspi1,-17.1528,-65.9084,Synallaxis azarae,257
azaspi1,-16.9167,-66.9501,Synallaxis azarae,257
azaspi1,6.2138,-75.2219,Synallaxis azarae,257
azaspi1,6.2138,-75.2219,Synallaxis azarae,257
azaspi1,1.0822,-77.1145,Synallaxis azarae,257
azaspi1,-5.6667,-77.7501,Synallaxis azarae,257
azaspi1,-6.7732,-77.8832,Synallaxis azarae,257
azaspi1,-7.2512,-78.4676,Synallaxis azarae,257
azaspi1,-5.1035,-79.3567,Synallaxis azarae,257
azaspi1,4.9758,-73.3011,Synallaxis azarae,257
azaspi1,-0.0431,-78.7376,Synallaxis azarae,257
azaspi1,-0.44,-77.8624,Synallaxis azarae,257
azaspi1,-0.0446,-78.636,Synallaxis azarae,257
azaspi1,5.4898,-75.9014,Synallaxis azarae,257
azaspi1,5.4898,-75.9014,Synallaxis azarae,257
azaspi1,5.7796,-73.4464,Synallaxis azarae,257
azaspi1,-16.283,-67.883,Synallaxis azarae,257
azaspi1,-0.1783,-78.4666,Synallaxis azarae,257
azaspi1,-0.1783,-78.4666,Synallaxis azarae,257
azaspi1,0.892,-78.0771,Synallaxis azarae,257
azaspi1,-16.867,-67.2,Synallaxis azarae,257
azaspi1,0.892,-78.0771,Synallaxis azarae,257
azaspi1,-10.7834,-75.2834,Synallaxis azarae,257
azaspi1,-4.1154,-79.1712,Synallaxis azarae,257
azaspi1,-3.9918,-79.1011,Synallaxis azarae,257
azaspi1,-16.8612,-67.2051,Synallaxis azarae,257
azaspi1,8.609,-71.0563,Synallaxis azarae,257
azaspi1,8.609,-71.0563,Synallaxis azarae,257
azaspi1,8.7171,-71.3304,Synallaxis azarae,257
azaspi1,4.6167,-74.3001,Synallaxis azarae,257
azaspi1,-6.3876,-79.1167,Synallaxis azarae,257
azaspi1,4.66307,-75.6388,Synallaxis azarae,257
azaspi1,4.3883,-74.3205,Synallaxis azarae,257
azaspi1,4.3883,-74.3205,Synallaxis azarae,257
azaspi1,6.8492,-73.3642,Synallaxis azarae,257
azaspi1,4.66481,-75.63287,Synallaxis azarae,257
azaspi1,4.66481,-75.63287,Synallaxis azarae,257
azaspi1,7.0,-75.4482,Synallaxis azarae,257
azaspi1,7.0,-75.4482,Synallaxis azarae,257
azaspi1,7.0,-75.4482,Synallaxis azarae,257
azaspi1,7.0,-75.4482,Synallaxis azarae,257
azaspi1,7.0,-75.4482,Synallaxis azarae,257
azaspi1,0.329,-78.399,Synallaxis azarae,257
azaspi1,-0.017,-78.685,Synallaxis azarae,257
azaspi1,-0.017,-78.685,Synallaxis azarae,257
azaspi1,-0.017,-78.685,Synallaxis azarae,257
azaspi1,-0.017,-78.685,Synallaxis azarae,257
azaspi1,-0.017,-78.685,Synallaxis azarae,257
azaspi1,-0.112,-78.585,Synallaxis azarae,257
azaspi1,-0.583,-79.017,Synallaxis azarae,257
azaspi1,-3.232,-79.281,Synallaxis azarae,257
azaspi1,-3.232,-79.281,Synallaxis azarae,257
azaspi1,-3.232,-79.281,Synallaxis azarae,257
azaspi1,-3.25,-79.083,Synallaxis azarae,257
azaspi1,-3.432,-79.011,Synallaxis azarae,257
azaspi1,-3.432,-79.011,Synallaxis azarae,257
azaspi1,-3.654,-79.753,Synallaxis azarae,257
azaspi1,-3.654,-79.753,Synallaxis azarae,257
azaspi1,-4.083,-79.95,Synallaxis azarae,257
azaspi1,8.6071,-71.053,Synallaxis azarae,257
azaspi1,-0.589,-77.877,Synallaxis azarae,257
azaspi1,-0.589,-77.877,Synallaxis azarae,257
azaspi1,-0.589,-77.877,Synallaxis azarae,257
azaspi1,-0.017,-78.685,Synallaxis azarae,257
azaspi1,-0.291,-78.677,Synallaxis azarae,257
azaspi1,-4.36,-79.719,Synallaxis azarae,257
azaspi1,-4.36,-79.719,Synallaxis azarae,257
azaspi1,-0.589,-77.877,Synallaxis azarae,257
azaspi1,-0.589,-77.877,Synallaxis azarae,257
azaspi1,-0.589,-77.877,Synallaxis azarae,257
azaspi1,-0.589,-77.877,Synallaxis azarae,257
azaspi1,-0.017,-78.685,Synallaxis azarae,257
azaspi1,3.5695,-76.5767,Synallaxis azarae,257
azaspi1,0.033,-78.6,Synallaxis azarae,257
azaspi1,6.4334,-76.0834,Synallaxis azarae,257
azaspi1,-4.666,-79.2,Synallaxis azarae,257
azaspi1,-0.6667,-77.9167,Synallaxis azarae,257
azaspi1,-23.6834,-64.8834,Synallaxis azarae,257
azaspi1,-23.6834,-64.8834,Synallaxis azarae,257
azaspi1,-23.758,-64.851,Synallaxis azarae,257
azaspi1,-23.6834,-64.8834,Synallaxis azarae,257
azaspi1,-23.5334,-64.5501,Synallaxis azarae,257
azaspi1,-23.6834,-64.8834,Synallaxis azarae,257
azaspi1,-23.6834,-64.9001,Synallaxis azarae,257
azaspi1,-23.6834,-64.8834,Synallaxis azarae,257
azaspi1,-23.6834,-64.7501,Synallaxis azarae,257
azaspi1,-23.758,-64.851,Synallaxis azarae,257
azaspi1,5.1542,-73.1894,Synallaxis azarae,257
azaspi1,-13.1661,-72.5403,Synallaxis azarae,257
azaspi1,1.6564,-76.183,Synallaxis azarae,257
azaspi1,4.727,-75.577,Synallaxis azarae,257
azaspi1,6.4037,-75.5016,Synallaxis azarae,257
azaspi1,5.544,-75.8027,Synallaxis azarae,257
azaspi1,3.4853,-76.6178,Synallaxis azarae,257
azaspi1,6.7864,-75.4797,Synallaxis azarae,257
azaspi1,6.7852,-75.4788,Synallaxis azarae,257
azaspi1,6.7878,-75.473,Synallaxis azarae,257
azaspi1,6.8253,-75.5621,Synallaxis azarae,257
azaspi1,6.8253,-75.5621,Synallaxis azarae,257
azaspi1,-0.5811,-77.8884,Synallaxis azarae,257
azaspi1,-4.5763,-79.1345,Synallaxis azarae,257
azaspi1,-4.6118,-78.9026,Synallaxis azarae,257
azaspi1,-6.8151,-77.9445,Synallaxis azarae,257
azaspi1,5.0737,-75.4378,Synallaxis azarae,257
azaspi1,-23.6738,-64.9004,Synallaxis azarae,257
azaspi1,-23.6738,-64.9004,Synallaxis azarae,257
azaspi1,-9.6334,-76.1334,Synallaxis azarae,257
azaspi1,-3.0652,-78.7898,Synallaxis azarae,257
azaspi1,-17.2123,-65.8661,Synallaxis azarae,257
azaspi1,4.7221,-75.5773,Synallaxis azarae,257
azaspi1,4.566,-75.327,Synallaxis azarae,257
azaspi1,5.0737,-75.4378,Synallaxis azarae,257
azaspi1,6.9862,-75.1251,Synallaxis azarae,257
azaspi1,5.0737,-75.4378,Synallaxis azarae,257
azaspi1,5.0737,-75.4378,Synallaxis azarae,257
azaspi1,-6.35087717985125,-79.1158447181806,Synallaxis azarae,257
azaspi1,-6.3876,-79.1167,Synallaxis azarae,257
azaspi1,5.775,-73.5507,Synallaxis azarae,257
azaspi1,8.8663,-70.6819,Synallaxis azarae,257
azaspi1,6.8169,-75.3306,Synallaxis azarae,257
azaspi1,6.8169,-75.3306,Synallaxis azarae,257
azaspi1,6.8883,-75.7105,Synallaxis azarae,257
azaspi1,-13.1673,-72.5459,Synallaxis azarae,257
azaspi1,6.236,-75.677,Synallaxis azarae,257
azaspi1,-23.7021,-64.8584,Synallaxis azarae,257
azaspi1,-23.7288,-64.8495,Synallaxis azarae,257
azaspi1,6.4495,-75.5942,Synallaxis azarae,257
azaspi1,6.4495,-75.5942,Synallaxis azarae,257
azaspi1,6.4495,-75.5942,Synallaxis azarae,257
azaspi1,6.4495,-75.5942,Synallaxis azarae,257
azaspi1,0.0036,-78.6773,Synallaxis azarae,257
azaspi1,-5.6954,-77.8119,Synallaxis azarae,257
azaspi1,-21.9539,-65.4895,Synallaxis azarae,257
azaspi1,-13.1577,-72.5289,Synallaxis azarae,257
azaspi1,-23.6716,-64.8668,Synallaxis azarae,257
azaspi1,6.6804,-72.8249,Synallaxis azarae,257
azaspi1,4.5288,-73.9778,Synallaxis azarae,257
azaspi1,4.5288,-73.9778,Synallaxis azarae,257
azaspi1,5.7865,-73.542,Synallaxis azarae,257
azaspi1,0.4036,-78.205,Synallaxis azarae,257
azaspi1,4.5669,-75.3253,Synallaxis azarae,257
azaspi1,-4.121,-79.1991,Synallaxis azarae,257
azaspi1,-4.121,-79.1991,Synallaxis azarae,257
azaspi1,4.7761,-75.5924,Synallaxis azarae,257
azaspi1,-22.6802,-64.4211,Synallaxis azarae,257
azaspi1,-7.433,-78.5613,Synallaxis azarae,257
azaspi1,-16.2223,-67.8762,Synallaxis azarae,257
azaspi1,-7.3917,-78.5861,Synallaxis azarae,257
